Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/,997,0,12,25.31058786348991,6.33529199694749,395.4107590034255,55.0,8.497918282668405,0.0,12,21,35,43,59,74,100,130,400,400,400
PUT,/,1030,0,10,20.263155811727362,4.998905998945702,375.73819100362016,69.0,8.779193411382606,0.0,10,16,26,33,52,63,77,89,140,380,380
GET,/?idbmc=10,2,0,6,22.29818349587731,5.891399996471591,38.70496699528303,149.0,0.0170469774978303,0.0,39,39,39,39,39,39,39,39,39,39,39
GET,/?idbmc=100,3,0,17,14.490166002360638,5.95124700339511,20.76360399951227,150.0,0.02557046624674545,0.0,17,17,21,21,21,21,21,21,21,21,21
GET,/?idbmc=1000,1,0,23.46033499634359,23.46033499634359,23.46033499634359,23.46033499634359,42.0,0.00852348874891515,0.0,23,23,23,23,23,23,23,23,23,23,23
GET,/?idbmc=101,2,0,7,31.476336997002363,6.805157994676847,56.14751599932788,150.0,0.0170469774978303,0.0,56,56,56,56,56,56,56,56,56,56,56
GET,/?idbmc=103,1,0,7.97949600382708,7.97949600382708,7.97949600382708,7.97949600382708,150.0,0.00852348874891515,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/?idbmc=104,1,0,8.318091997352894,8.318091997352894,8.318091997352894,8.318091997352894,150.0,0.00852348874891515,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/?idbmc=105,1,0,42.86172900174279,42.86172900174279,42.86172900174279,42.86172900174279,42.0,0.00852348874891515,0.0,43,43,43,43,43,43,43,43,43,43,43
GET,/?idbmc=106,3,0,6,13.990072332186779,5.441905996121932,30.826058995444328,150.0,0.02557046624674545,0.0,6,6,31,31,31,31,31,31,31,31,31
GET,/?idbmc=107,6,0,6,15.61164683153038,5.512893003469799,53.6706549974042,150.0,0.0511409324934909,0.0,9,9,14,14,54,54,54,54,54,54,54
GET,/?idbmc=108,2,0,7,25.870311001199298,6.775456997274887,44.96516500512371,96.0,0.0170469774978303,0.0,45,45,45,45,45,45,45,45,45,45,45
GET,/?idbmc=109,4,0,8,11.053274251025869,6.163786005345173,21.474722001585178,150.0,0.0340939549956606,0.0,9,9,21,21,21,21,21,21,21,21,21
GET,/?idbmc=11,2,0,32,47.21350749969133,31.94807899853913,62.47893600084353,149.0,0.0170469774978303,0.0,62,62,62,62,62,62,62,62,62,62,62
GET,/?idbmc=110,2,0,20,37.507280001591425,19.590627001889516,55.423933001293335,42.0,0.0170469774978303,0.0,55,55,55,55,55,55,55,55,55,55,55
GET,/?idbmc=112,2,0,7.389168000372592,7.42235600046115,7.389168000372592,7.455544000549708,150.0,0.0170469774978303,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/?idbmc=113,3,0,6,19.02974399854429,5.408120996435173,46.15849100082414,150.0,0.02557046624674545,0.0,6,6,46,46,46,46,46,46,46,46,46
GET,/?idbmc=115,1,0,5.973924999125302,5.973924999125302,5.973924999125302,5.973924999125302,150.0,0.00852348874891515,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/?idbmc=116,1,0,19.406965002417564,19.406965002417564,19.406965002417564,19.406965002417564,150.0,0.00852348874891515,0.0,19,19,19,19,19,19,19,19,19,19,19
GET,/?idbmc=117,3,0,7,6.953160331856149,5.425536997790914,8.604956994531676,114.0,0.02557046624674545,0.0,7,7,9,9,9,9,9,9,9,9,9
GET,/?idbmc=118,3,0,6,6.577625332283787,5.647566998959519,8.047834999160841,113.33333333333333,0.02557046624674545,0.0,6,6,8,8,8,8,8,8,8,8,8
GET,/?idbmc=119,1,0,9.584614002960734,9.584614002960734,9.584614002960734,9.584614002960734,150.0,0.00852348874891515,0.0,10,10,10,10,10,10,10,10,10,10,10
