Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/,1028,0,15,33.4149482276663,6.285432002187008,256.0592909976549,55.0,8.703390992395583,0.0,15,32,48,58,80,110,150,170,230,260,260
PUT,/,1015,0,11,27.78316659506914,5.090319998998893,249.24251799893682,67.49655172413793,8.59332865494311,0.0,11,23,38,49,71,96,130,150,210,250,250
GET,/?idfnf=1,1,0,58.020823998958804,58.020823998958804,58.020823998958804,58.020823998958804,42.0,0.008466333650190255,0.0,58,58,58,58,58,58,58,58,58,58,58
DELETE,/?idfnf=10,2,0,26.044090001960285,48.93624850046763,26.044090001960285,71.82840699897497,69.0,0.01693266730038051,0.0,72,72,72,72,72,72,72,72,72,72,72
GET,/?idfnf=10,4,0,9,21.88641725024354,8.081408999714768,56.49210000046878,42.0,0.03386533460076102,0.0,14,14,56,56,56,56,56,56,56,56,56
DELETE,/?idfnf=100,1,0,112.3147180005617,112.3147180005617,112.3147180005617,112.3147180005617,69.0,0.008466333650190255,0.0,110,110,110,110,110,110,110,110,110,110,110
GET,/?idfnf=100,2,0,9,86.51532300063991,8.553297000617022,164.4773490006628,42.0,0.01693266730038051,0.0,160,160,160,160,160,160,160,160,160,160,160
GET,/?idfnf=101,2,0,8,18.172576998040313,7.593953996547498,28.751199999533128,42.0,0.01693266730038051,0.0,29,29,29,29,29,29,29,29,29,29,29
DELETE,/?idfnf=102,1,0,100.43213099925197,100.43213099925197,100.43213099925197,100.43213099925197,69.0,0.008466333650190255,0.0,100,100,100,100,100,100,100,100,100,100,100
DELETE,/?idfnf=104,3,0,29,33.15354633377865,4.931026000122074,65.68836299993563,69.0,0.02539900095057077,0.0,29,29,66,66,66,66,66,66,66,66,66
GET,/?idfnf=104,1,0,64.79562100139447,64.79562100139447,64.79562100139447,64.79562100139447,42.0,0.008466333650190255,0.0,65,65,65,65,65,65,65,65,65,65,65
DELETE,/?idfnf=105,4,0,7,31.797843499589362,5.6745809997664765,107.54893900229945,69.0,0.03386533460076102,0.0,7,7,110,110,110,110,110,110,110,110,110
GET,/?idfnf=105,1,0,16.638781999063212,16.638781999063212,16.638781999063212,16.638781999063212,42.0,0.008466333650190255,0.0,17,17,17,17,17,17,17,17,17,17,17
GET,/?idfnf=106,1,0,17.310142000496853,17.310142000496853,17.310142000496853,17.310142000496853,461.0,0.008466333650190255,0.0,17,17,17,17,17,17,17,17,17,17,17
DELETE,/?idfnf=108,1,0,64.56302600054187,64.56302600054187,64.56302600054187,64.56302600054187,69.0,0.008466333650190255,0.0,65,65,65,65,65,65,65,65,65,65,65
GET,/?idfnf=108,1,0,9.478743002546253,9.478743002546253,9.478743002546253,9.478743002546253,42.0,0.008466333650190255,0.0,9,9,9,9,9,9,9,9,9,9,9
DELETE,/?idfnf=109,1,0,56.32041300123092,56.32041300123092,56.32041300123092,56.32041300123092,69.0,0.008466333650190255,0.0,56,56,56,56,56,56,56,56,56,56,56
GET,/?idfnf=109,2,0,41.04983599972911,116.69660450024821,41.04983599972911,192.34337300076731,42.0,0.01693266730038051,0.0,190,190,190,190,190,190,190,190,190,190,190
DELETE,/?idfnf=11,1,0,6.837888002337422,6.837888002337422,6.837888002337422,6.837888002337422,69.0,0.008466333650190255,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/?idfnf=11,2,0,8,9.118993499214412,7.5700909983424935,10.66789600008633,42.0,0.01693266730038051,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/?idfnf=110,1,0,9.37840100232279,9.37840100232279,9.37840100232279,9.37840100232279,42.0,0.008466333650190255,0.0,9,9,9,9,9,9,9,9,9,9,9
DELETE,/?idfnf=111,1,0,6.040391999704298,6.040391999704298,6.040391999704298,6.040391999704298,69.0,0.008466333650190255,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/?idfnf=111,1,0,6.363681000948418,6.363681000948418,6.363681000948418,6.363681000948418,42.0,0.008466333650190255,0.0,6,6,6,6,6,6,6,6,6,6,6
DELETE,/?idfnf=113,1,0,12.56645700050285,12.56645700050285,12.56645700050285,12.56645700050285,69.0,0.008466333650190255,0.0,13,13,13,13,13,13,13,13,13,13,13
DELETE,/?idfnf=114,1,0,5.441651999717578,5.441651999717578,5.441651999717578,5.441651999717578,69.0,0.008466333650190255,0.0,5,5,5,5,5,5,5,5,5,5,5
GET,/?idfnf=114,1,0,7.387172001472209,7.387172001472209,7.387172001472209,7.387172001472209,42.0,0.008466333650190255,0.0,7,7,7,7,7,7,7,7,7,7,7
DELETE,/?idfnf=116,2,0,30.174265000823652,39.95779000069888,30.174265000823652,49.741315000574104,69.0,0.01693266730038051,0.0,50,50,50,50,50,50,50,50,50,50,50
GET,/?idfnf=116,1,0,6.1656159996346105,6.1656159996346105,6.1656159996346105,6.1656159996346105,42.0,0.008466333650190255,0.0,6,6,6,6,6,6,6,6,6,6,6
DELETE,/?idfnf=118,1,0,43.960975999652874,43.960975999652874,43.960975999652874,43.960975999652874,69.0,0.008466333650190255,0.0,44,44,44,44,44,44,44,44,44,44,44
DELETE,/?idfnf=119,1,0,71.19269499889924,71.19269499889924,71.19269499889924,71.19269499889924,69.0,0.008466333650190255,0.0,71,71,71,71,71,71,71,71,71,71,71
GET,/?idfnf=12,1,0,14.700110001285793,14.700110001285793,14.700110001285793,14.700110001285793,42.0,0.008466333650190255,0.0,15,15,15,15,15,15,15,15,15,15,15
DELETE,/?idfnf=120,2,0,7,33.48792249926191,6.789864000893431,60.185980997630395,69.0,0.01693266730038051,0.0,60,60,60,60,60,60,60,60,60,60,60
GET,/?idfnf=120,1,0,8.492035001836484,8.492035001836484,8.492035001836484,8.492035001836484,42.0,0.008466333650190255,0.0,8,8,8,8,8,8,8,8,8,8,8
DELETE,/?idfnf=121,2,0,8.117364999634447,8.745754499614122,8.117364999634447,9.374143999593798,69.0,0.01693266730038051,0.0,9,9,9,9,9,9,9,9,9,9,9
